,booking_check_in,booking_check_out,listing_id,unit_id,property_id,property_type,property_design,area_id,usd
0,2019-05-16,2019-05-18,400290105,UN1722,PR0314,4.0,1.0,A0002,15.92
1,2019-05-16,2019-05-18,400290105,UN1722,PR0314,4.0,1.0,A0002,15.92
2,2019-01-23,2019-02-20,400290105,UN1722,PR0314,4.0,1.0,A0002,13.79
3,2019-03-16,2019-03-17,400290105,UN1722,PR0314,4.0,1.0,A0002,21.01
4,2019-06-01,2019-06-03,400290105,UN1722,PR0314,4.0,1.0,A0002,20.93
5,2019-09-07,2019-09-11,400290105,UN1722,PR0314,4.0,1.0,A0002,19.76
6,2019-10-13,2019-10-15,400290105,UN1722,PR0314,4.0,1.0,A0002,16.99
7,2019-10-11,2019-10-12,400290105,UN1722,PR0314,4.0,1.0,A0002,17.02
8,2019-05-24,2019-05-26,400290105,UN1722,PR0314,4.0,1.0,A0002,15.98
9,2019-08-09,2019-08-12,400290105,UN1722,PR0314,4.0,1.0,A0002,19.17
10,2019-10-27,2019-10-29,400290105,UN1722,PR0314,4.0,1.0,A0002,17.1
11,2019-09-11,2019-09-13,400290105,UN1722,PR0314,4.0,1.0,A0002,19.63
12,2019-12-30,2020-01-03,400290105,UN1722,PR0314,4.0,1.0,A0002,20.15
13,2019-08-04,2019-08-09,400290105,UN1722,PR0314,4.0,1.0,A0002,16.2
14,2019-10-28,2019-11-04,400290105,UN1722,PR0314,4.0,1.0,A0002,18.29
15,2019-10-20,2019-10-23,400290105,UN1722,PR0314,4.0,1.0,A0002,16.98
16,2019-07-28,2019-08-02,400290105,UN1722,PR0314,4.0,1.0,A0002,19.32
17,2019-07-19,2019-07-20,400290105,UN1722,PR0314,4.0,1.0,A0002,17.92
18,2019-10-12,2019-10-15,400290105,UN1722,PR0314,4.0,1.0,A0002,16.99
19,2019-09-18,2019-09-20,400290105,UN1722,PR0314,4.0,1.0,A0002,19.63
20,2019-08-12,2019-08-25,400290105,UN1722,PR0314,4.0,1.0,A0002,16.14
21,2019-08-27,2019-09-07,400290105,UN1722,PR0314,4.0,1.0,A0002,16.14
22,2019-10-17,2019-10-19,400290105,UN1722,PR0314,4.0,1.0,A0002,16.97
23,2019-10-10,2019-10-14,400290105,UN1722,PR0314,4.0,1.0,A0002,16.96
24,2019-07-27,2019-07-30,400290105,UN1722,PR0314,4.0,1.0,A0002,19.32
25,2019-07-15,2019-07-17,400290105,UN1722,PR0314,4.0,1.0,A0002,17.93
26,2019-07-30,2019-08-01,400290105,UN1722,PR0314,4.0,1.0,A0002,17.83
27,2019-10-19,2019-10-22,400290105,UN1722,PR0314,4.0,1.0,A0002,16.98
28,2019-10-19,2019-10-25,400290105,UN1722,PR0314,4.0,1.0,A0002,16.98
29,2019-09-28,2019-09-30,400290105,UN1722,PR0314,4.0,1.0,A0002,18.63
30,2019-09-15,2019-09-18,400290105,UN1722,PR0314,4.0,1.0,A0002,19.76
31,2019-10-29,2019-11-04,400290105,UN1722,PR0314,4.0,1.0,A0002,18.52
32,2019-06-09,2019-06-10,400290105,UN1722,PR0314,4.0,1.0,A0002,18.95
33,2019-10-18,2019-10-20,400290105,UN1722,PR0314,4.0,1.0,A0002,16.28
34,2019-10-18,2019-10-19,400290105,UN1722,PR0314,4.0,1.0,A0002,16.98
35,2019-10-14,2019-10-18,400290105,UN1722,PR0314,4.0,1.0,A0002,16.97
36,2019-06-29,2019-07-01,400290105,UN1722,PR0314,4.0,1.0,A0002,19.1
37,2019-12-22,2019-12-24,400290105,UN1722,PR0314,4.0,1.0,A0002,17.54
38,2019-06-19,2019-06-20,400290105,UN1722,PR0314,4.0,1.0,A0002,18.92
39,2019-10-23,2019-10-26,400290105,UN1722,PR0314,4.0,1.0,A0002,17.1
40,2019-11-19,2019-11-24,400290105,UN1722,PR0314,4.0,1.0,A0002,16.33
41,2019-02-22,2019-02-24,400290105,UN1722,PR0314,4.0,1.0,A0002,21.34
42,2018-10-19,2018-10-20,27822522,UN1729,PR0314,4.0,1.0,A0002,15.14
43,2018-10-07,2018-10-08,27822522,UN1729,PR0314,4.0,1.0,A0002,0.0
44,2018-09-09,2018-09-11,27822522,UN1729,PR0314,4.0,1.0,A0002,16.36
45,2018-10-06,2018-10-07,27822522,UN1729,PR0314,4.0,1.0,A0002,15.15
46,2018-09-14,2018-09-15,27822522,UN1729,PR0314,4.0,1.0,A0002,16.38
47,2018-09-01,2018-09-04,27822522,UN1729,PR0314,4.0,1.0,A0002,16.4
48,2018-10-14,2018-10-17,27822522,UN1729,PR0314,4.0,1.0,A0002,0.0
49,2018-09-18,2018-09-22,27822522,UN1729,PR0314,4.0,1.0,A0002,16.32
50,2018-08-25,2018-09-01,27822522,UN1729,PR0314,4.0,1.0,A0002,16.58
51,2018-12-16,2018-12-18,27822522,UN1729,PR0314,4.0,1.0,A0002,15.26
52,2018-11-15,2018-11-16,27822522,UN1729,PR0314,4.0,1.0,A0002,12.55
53,2019-03-30,2019-04-01,27822522,UN1729,PR0314,4.0,1.0,A0002,14.3
54,2019-05-11,2019-05-13,27822522,UN1729,PR0314,4.0,1.0,A0002,15.49
55,2019-09-27,2019-09-30,27822522,UN1729,PR0314,4.0,1.0,A0002,17.11
56,2019-06-23,2019-06-24,27822522,UN1729,PR0314,4.0,1.0,A0002,15.79
57,2019-09-16,2019-09-17,27822522,UN1729,PR0314,4.0,1.0,A0002,16.58
58,2019-07-22,2019-07-26,27822522,UN1729,PR0314,4.0,1.0,A0002,16.0
59,2019-07-18,2019-07-20,27822522,UN1729,PR0314,4.0,1.0,A0002,15.97
60,2020-01-04,2020-01-05,27822522,UN1729,PR0314,4.0,1.0,A0002,16.0
61,2018-10-07,2018-10-08,27466227,UN1722,PR0314,4.0,1.0,A0002,12.14
62,2018-10-24,2018-10-26,27466227,UN1722,PR0314,4.0,1.0,A0002,12.13
63,2018-08-17,2018-08-20,27466227,UN1722,PR0314,4.0,1.0,A0002,14.58
64,2018-09-15,2018-09-25,27466227,UN1722,PR0314,4.0,1.0,A0002,14.41
65,2018-08-11,2018-08-14,27466227,UN1722,PR0314,4.0,1.0,A0002,16.75
66,2018-11-17,2018-11-20,27466227,UN1722,PR0314,4.0,1.0,A0002,12.61
67,2018-12-31,2019-01-01,27466227,UN1722,PR0314,4.0,1.0,A0002,15.48
68,2019-01-01,2019-01-02,27466227,UN1722,PR0314,4.0,1.0,A0002,15.48
69,2018-10-06,2018-10-07,27466227,UN1722,PR0314,4.0,1.0,A0002,12.14
70,2018-08-30,2018-08-31,27466227,UN1722,PR0314,4.0,1.0,A0002,14.53
71,2018-09-10,2018-09-11,27466227,UN1722,PR0314,4.0,1.0,A0002,14.37
72,2018-09-11,2018-09-13,27466227,UN1722,PR0314,4.0,1.0,A0002,14.35
73,2018-08-14,2018-08-17,27466227,UN1722,PR0314,4.0,1.0,A0002,15.97
74,2019-03-08,2019-03-09,27466227,UN1722,PR0314,4.0,1.0,A0002,15.58
75,2018-09-07,2018-09-08,27466227,UN1722,PR0314,4.0,1.0,A0002,14.4
76,2018-10-22,2018-10-23,27466227,UN1722,PR0314,4.0,1.0,A0002,12.13
77,2018-11-23,2018-11-24,27466227,UN1722,PR0314,4.0,1.0,A0002,12.68
78,2018-09-08,2018-09-10,27466227,UN1722,PR0314,4.0,1.0,A0002,14.4
79,2018-11-24,2018-11-30,27466227,UN1722,PR0314,4.0,1.0,A0002,12.68
80,2018-08-20,2018-08-22,27466227,UN1722,PR0314,4.0,1.0,A0002,14.63
81,2018-10-11,2018-10-14,27466227,UN1722,PR0314,4.0,1.0,A0002,12.1
82,2018-09-02,2018-09-04,27466227,UN1722,PR0314,4.0,1.0,A0002,14.43
83,2018-12-20,2018-12-28,27466227,UN1722,PR0314,4.0,1.0,A0002,12.76
84,2018-12-02,2018-12-08,27466227,UN1722,PR0314,4.0,1.0,A0002,12.89
85,2019-03-03,2019-03-05,27466227,UN1722,PR0314,4.0,1.0,A0002,15.81
86,2019-10-02,2019-10-03,27466227,UN1722,PR0314,4.0,1.0,A0002,15.72
87,2018-12-13,2018-12-17,27466227,UN1722,PR0314,4.0,1.0,A0002,12.7
88,2018-09-27,2018-09-30,27466227,UN1722,PR0314,4.0,1.0,A0002,14.97
89,2018-09-13,2018-09-15,27466227,UN1722,PR0314,4.0,1.0,A0002,14.42
90,2019-07-20,2019-07-21,27466227,UN1722,PR0314,4.0,1.0,A0002,15.99
91,2018-10-18,2018-10-20,27466227,UN1722,PR0314,4.0,1.0,A0002,12.13
92,2018-08-25,2018-08-30,27466227,UN1722,PR0314,4.0,1.0,A0002,14.59
93,2018-10-31,2018-11-01,27466227,UN1722,PR0314,4.0,1.0,A0002,12.12
94,2019-03-05,2019-03-06,27466227,UN1722,PR0314,4.0,1.0,A0002,15.79
95,2019-07-05,2019-07-07,27466227,UN1722,PR0314,4.0,1.0,A0002,16.14
96,2018-10-27,2018-10-28,27466227,UN1722,PR0314,4.0,1.0,A0002,12.12
