,checkin_day,checkin_month,checkin_year,checkout_day,checkout_month,checkout_year,listing_id,unit_id,property_id,area_id,type_1.0,type_2.0,type_3.0,type_4.0,type_5.0,design_0.0,design_1.0,design_2.0,design_3.0,design_4.0,design_5.0,usd
0,16,5,2019,18,5,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.92
1,16,5,2019,18,5,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.92
2,23,1,2019,20,2,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,13.79
3,16,3,2019,17,3,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,21.01
4,1,6,2019,3,6,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,20.93
5,7,9,2019,11,9,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.76
6,13,10,2019,15,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.99
7,11,10,2019,12,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.02
8,24,5,2019,26,5,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.98
9,9,8,2019,12,8,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.17
10,27,10,2019,29,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.1
11,11,9,2019,13,9,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.63
12,30,12,2019,3,1,2020,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,20.15
13,4,8,2019,9,8,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.2
14,28,10,2019,4,11,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,18.29
15,20,10,2019,23,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.98
16,28,7,2019,2,8,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.32
17,19,7,2019,20,7,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.92
18,12,10,2019,15,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.99
19,18,9,2019,20,9,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.63
20,12,8,2019,25,8,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.14
21,27,8,2019,7,9,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.14
22,17,10,2019,19,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.97
23,10,10,2019,14,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.96
24,27,7,2019,30,7,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.32
25,15,7,2019,17,7,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.93
26,30,7,2019,1,8,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.83
27,19,10,2019,22,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.98
28,19,10,2019,25,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.98
29,28,9,2019,30,9,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,18.63
30,15,9,2019,18,9,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.76
31,29,10,2019,4,11,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,18.52
32,9,6,2019,10,6,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,18.95
33,18,10,2019,20,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.28
34,18,10,2019,19,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.98
35,14,10,2019,18,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.97
36,29,6,2019,1,7,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,19.1
37,22,12,2019,24,12,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.54
38,19,6,2019,20,6,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,18.92
39,23,10,2019,26,10,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17.1
40,19,11,2019,24,11,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.33
41,22,2,2019,24,2,2019,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,21.34
42,19,10,2018,20,10,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,15.14
43,7,10,2018,8,10,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
44,9,9,2018,11,9,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.36
45,6,10,2018,7,10,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,15.15
46,14,9,2018,15,9,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.38
47,1,9,2018,4,9,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.4
48,14,10,2018,17,10,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
49,18,9,2018,22,9,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.32
50,25,8,2018,1,9,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.58
51,16,12,2018,18,12,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,15.26
52,15,11,2018,16,11,2018,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,12.55
53,30,3,2019,1,4,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,14.3
54,11,5,2019,13,5,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,15.49
55,27,9,2019,30,9,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,17.11
56,23,6,2019,24,6,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,15.79
57,16,9,2019,17,9,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.58
58,22,7,2019,26,7,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.0
59,18,7,2019,20,7,2019,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,15.97
60,4,1,2020,5,1,2020,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,16.0
61,7,10,2018,8,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.14
62,24,10,2018,26,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.13
63,17,8,2018,20,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.58
64,15,9,2018,25,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.41
65,11,8,2018,14,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.75
66,17,11,2018,20,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.61
67,31,12,2018,1,1,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.48
68,1,1,2019,2,1,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.48
69,6,10,2018,7,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.14
70,30,8,2018,31,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.53
71,10,9,2018,11,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.37
72,11,9,2018,13,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.35
73,14,8,2018,17,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.97
74,8,3,2019,9,3,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.58
75,7,9,2018,8,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.4
76,22,10,2018,23,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.13
77,23,11,2018,24,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.68
78,8,9,2018,10,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.4
79,24,11,2018,30,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.68
80,20,8,2018,22,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.63
81,11,10,2018,14,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.1
82,2,9,2018,4,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.43
83,20,12,2018,28,12,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.76
